"ecopool","pdMoney","TotalPDmoney","TotalCirculation","tick"
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,344.0
992.4885130000001,131.98670800000002,131.986708,1124.4752210000001,345.0
992.4885130000001,131.98670800000002,131.98670799999996,1124.4752210000001,346.0
992.4885130000001,131.98670800000002,131.98670799999996,1124.4752210000001,347.0
992.4885130000001,131.98670800000002,131.98670799999996,1124.4752210000001,348.0
992.4885130000001,131.98670800000002,131.98670799999996,1124.4752210000001,349.0
992.4885130000001,131.98670800000002,131.98670800000002,1124.4752210000001,350.0
992.4885130000001,131.98670800000002,131.98670800000002,1124.4752210000001,351.0
992.4885130000001,131.98670800000002,131.98670800000002,1124.4752210000001,352.0
992.4885130000001,131.98670800000002,131.98670800000002,1124.4752210000001,353.0
992.4885130000001,131.35670800000003,131.356708,1123.845221,354.0
992.4885130000001,131.35670800000003,131.356708,1123.845221,355.0
992.4885130000001,131.35670800000003,131.356708,1123.845221,356.0
992.4885130000001,131.35670800000003,131.356708,1123.845221,357.0
986.4885130000001,137.35670800000003,137.356708,1123.845221,358.0
986.4885130000001,137.35670800000003,137.356708,1123.845221,359.0
986.4885130000001,137.35670800000003,137.356708,1123.845221,360.0
986.4885130000001,137.35670800000003,137.356708,1123.845221,361.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,362.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,363.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,364.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,365.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,366.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,367.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,368.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,369.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,370.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,371.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,372.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,373.0
986.4885130000001,136.78970800000002,136.78970800000002,1123.278221,374.0
986.4885130000001,136.78970800000002,136.78970800000002,1123.278221,375.0
986.4885130000001,136.78970800000002,136.78970800000002,1123.278221,376.0
986.4885130000001,136.78970800000002,136.78970800000002,1123.278221,377.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,378.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,379.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,380.0
986.4885130000001,136.78970800000002,136.789708,1123.278221,381.0
986.4885130000001,135.151708,135.15170799999999,1121.640221,382.0
986.4885130000001,135.151708,135.15170799999999,1121.640221,383.0
986.4885130000001,135.151708,135.15170799999999,1121.640221,384.0
995.5345475000001,135.269013,135.269013,1130.8035605000002,385.0
995.5345475000001,135.269013,135.26901299999997,1130.8035605,386.0
995.5345475000001,135.269013,135.26901299999997,1130.8035605,387.0
995.5345475000001,135.269013,135.26901299999997,1130.8035605,388.0
995.5345475000001,135.269013,135.26901299999997,1130.8035605,389.0
995.5345475000001,135.269013,135.269013,1130.8035605000002,390.0
990.5345475000001,140.269013,140.269013,1130.8035605000002,391.0
990.5345475000001,140.269013,140.269013,1130.8035605000002,392.0
990.5345475000001,140.269013,140.269013,1130.8035605000002,393.0
990.5345475000001,140.269013,140.269013,1130.8035605000002,394.0
990.5345475000001,140.269013,140.269013,1130.8035605000002,395.0
990.5345475000001,140.269013,140.269013,1130.8035605000002,396.0
990.5345475000001,140.269013,140.269013,1130.8035605000002,397.0
990.5345475000001,139.923768,139.923768,1130.4583155,398.0
995.7005475000002,139.98676799999998,139.986768,1135.6873155000003,399.0
995.7005475000002,139.98676799999998,139.986768,1135.6873155000003,400.0
995.7005475000002,139.98676799999998,139.986768,1135.6873155000003,401.0
995.7005475000002,139.446768,139.446768,1135.1473155,402.0
995.7005475000002,139.446768,139.446768,1135.1473155,403.0
995.7005475000002,139.446768,139.446768,1135.1473155,404.0
995.7005475000002,139.446768,139.446768,1135.1473155,405.0
995.7005475000002,139.446768,139.446768,1135.1473155,406.0
995.7005475000002,139.446768,139.446768,1135.1473155,407.0
995.7005475000002,139.446768,139.446768,1135.1473155,408.0
995.7005475000002,139.446768,139.446768,1135.1473155,409.0
995.7005475000002,138.64676799999998,138.646768,1134.3473155000001,410.0
995.7005475000002,138.64676799999998,138.646768,1134.3473155000001,411.0
987.7005475000002,146.646768,146.646768,1134.3473155000001,412.0
987.7005475000002,146.646768,146.646768,1134.3473155000001,413.0
987.7005475000002,146.646768,146.64676799999998,1134.3473155000001,414.0
987.7005475000002,146.646768,146.64676799999998,1134.3473155000001,415.0
987.7005475000002,146.646768,146.64676799999998,1134.3473155000001,416.0
987.7005475000002,146.646768,146.64676799999998,1134.3473155000001,417.0
987.7005475000002,146.646768,146.64676800000004,1134.3473155000001,418.0
987.7005475000002,146.646768,146.64676800000004,1134.3473155000001,419.0
987.7005475000002,146.646768,146.64676800000004,1134.3473155000001,420.0
987.7005475000002,146.646768,146.64676800000004,1134.3473155000001,421.0
